Date,Close,High,Low,Open,Volume
2020-01-02,296.8881225585937,296.9064177570936,294.7496760107685,295.67269108630387,59151200
2020-01-03,294.6400146484375,295.7640816777263,293.44285049264414,293.49768030977805,77709700
2020-01-06,295.7640991210937,295.84634385164514,292.7665868662051,292.88539410667613,55653900
2020-01-07,294.9325256347656,295.67275622250656,294.4847115081981,295.19752718117184,40496400
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000
2020-01-09,298.5148620605469,298.5879870903448,297.48218715461246,298.0670758368869,48473300
2020-01-10,297.6558532714844,299.2551218137174,297.1897996894312,299.0997799160431,53029300
2020-01-13,299.7029113769531,299.7120310890485,297.8477611357546,298.2772800531271,47086800
2020-01-14,299.2459411621094,300.3151505804677,298.6884674529028,299.264208473107,62832800
2020-01-15,299.9222717285156,300.6807697217704,299.07238137860776,299.1546261328861,72056600
2020-01-16,302.41705322265625,302.41705322265625,301.07366684721774,301.3021337281493,54050300
2020-01-17,303.3583374023437,303.56850908503526,302.353077542655,303.12987052009737,95846000
2020-01-21,302.7643737792969,303.5685818598415,302.3257351092037,302.39883225787577,77742400
2020-01-22,302.80084228515625,304.2721834050225,302.64550043407195,303.62331742525095,48914900
2020-01-23,303.1481628417969,303.55941441938006,301.0371309067921,302.1520504997015,51963000
2020-01-24,300.4522705078125,303.8884219479204,299.16371371777205,303.80617720247466,87578400
2020-01-27,295.6361694335937,297.116630487524,294.8685239941124,295.2066505448216,84062500
2020-01-28,298.7341613769531,299.6114663707145,295.72752948381543,297.0617682289767,63834000
2020-01-29,298.4873962402344,300.32427882650586,298.28634427612,300.0958119531496,53888900
2020-01-30,299.4561767578125,299.6663763797536,295.6727787860852,296.422129143248,75491800
2020-01-31,294.01873779296875,298.9901815401948,293.1048698672145,298.8348117216408,113845600
2020-02-03,296.20269775390625,298.066995062156,295.3802226702437,295.4990298946987,69083000
2020-02-04,300.7172241210937,301.58540936360026,299.4926450715204,299.81250426028714,62573200
2020-02-05,304.19000244140625,304.4002020615823,302.1886577494263,303.65082382168174,65951100
2020-02-06,305.21343994140625,305.40534428374525,304.135055229123,305.1494625309535,50359700
2020-02-07,303.5868530273437,305.222656086769,303.0385268441105,304.15344652404104,64139400
2020-02-10,305.85321044921875,305.9171878764204,302.66382135820703,302.7003838721832,42070000
2020-02-11,306.38330078125,307.9916890041701,305.85324188570775,307.20577615157714,54864500
2020-02-12,308.357177734375,308.56734940604724,307.45242996357894,307.81797137820314,43992700
2020-02-13,308.0282287597656,308.9969262404168,306.65742728084103,306.93157642101494,54501900
2020-02-14,308.5216979980469,308.6405052446944,307.2422889745831,308.4394532632197,64582200
2020-02-18,307.7266540527344,308.58569184757795,306.3375574198674,307.5256020605576,57226200
2020-02-19,309.1979675292969,309.8742206443196,308.41205476200304,308.6953514933789,48814700
2020-02-20,307.9277648925781,309.4722036983125,304.9393993518931,308.64970037102154,74163400
2020-02-21,304.75653076171875,306.8858296734732,303.93402773606726,306.5751180835918,113788200
2020-02-24,294.6492004394531,304.82967088286625,293.5708154883239,295.3071862193686,161088400
2020-02-25,285.7207336425781,296.6505836333486,284.8434284508616,296.0383078861717,218913200
2020-02-26,284.6697692871094,290.7104209886197,283.93868633219154,287.11892786401404,194773800
2020-02-27,271.884765625,284.72459458112405,271.884765625,279.1499964992916,284353500
2020-02-28,270.7424011230469,272.2320096468705,260.9457401669116,263.83356488451,384975800
2020-03-02,282.4673767089844,282.53135414421934,269.0974871963839,272.5244912250123,238703600
2020-03-03,274.37957763671875,286.80818159326185,271.9395669552168,282.8419998690826,300139100
2020-03-04,285.9126892089844,286.1320364629317,277.20352949945715,279.7532286727096,176613400
2020-03-05,276.4084167480469,281.9007705498337,274.1694576163429,278.7113812011502,186366800
2020-03-06,271.839111328125,273.0454235323544,265.2318649017043,267.900343292722,228667200
2020-03-09,250.60997009277344,259.71208532700234,249.8971543435091,251.58778741680635,309417300
2020-03-10,263.57769775390625,263.6690622000133,249.9427812895364,260.12327944250404,276444100
2020-03-11,250.7287139892578,257.65584636432993,247.54847242990883,256.52265940769087,255316300
2020-03-12,226.7397003173828,243.69194779831977,226.3467299817304,233.95011542645676,392220700
2020-03-13,246.1228179931641,248.09677526977265,227.11436995312613,240.42941305337604,329566100
2020-03-16,219.19113159179688,234.77256174758443,216.91559643304075,220.40656312966803,297240000
2020-03-17,231.02577209472656,234.1055159225691,216.65063616066,223.93414936559597,262070500
2020-03-18,219.32827758789065,226.9773468065231,208.38014496942637,215.90127325057983,327597100
2020-03-19,219.7943115234375,226.0725919909202,212.21835456333,218.64284326233184,289322000
2020-03-20,210.3224334716797,224.72694441324552,210.04665824854575,222.9436138670249,347158800
2020-03-23,204.94485473632807,211.13134505091108,200.6336105908969,209.76168442600684,326025200
2020-03-24,223.51353454589844,224.38682507267387,214.91863611227424,215.4885612758454,235494500
2020-03-25,226.85958862304688,235.6475485646317,220.38813506232896,225.0946467428511,299430300
2020-03-26,240.1058807373047,241.57664463189136,228.93708857476463,229.36913318338085,257632800
